"term","estimate","std.error","statistic","p.value"
"(Intercept)",0.0417050301474235,0.0391708913319265,1.06469443837832,0.287193466688574
"yearind",-0.0189092338953047,0.00323594953581543,-5.84348849882165,6.31732508731677e-09
"categoryRare",-1.04698885739567,0.0558806542181724,-18.7361596252606,3.08336498649374e-70
"Reproductive_modeBrooder",-0.245220691680019,0.0547854220536821,-4.47602085532419,8.20639212167556e-06
"yearind:categoryRare",-0.00682429145821391,0.00463243364529139,-1.47315471321439,0.140928780391291
"yearind:Reproductive_modeBrooder",0.0105999737673822,0.0041888688046719,2.5305098492366,0.0114959239717821
"categoryRare:Reproductive_modeBrooder",-0.339138097603977,0.0841991974351689,-4.02780677173442,5.92483433197307e-05
"yearind:categoryRare:Reproductive_modeBrooder",0.00942730914460778,0.00654172191848837,1.44110514969523,0.149773295709913
