"term","estimate","std.error","statistic","p.value"
"(Intercept)",0.0696602335972332,0.0542844342829004,1.2832450870576,0.199936069828855
"yearind",-0.00992066534235337,0.00404724074915967,-2.45121700368657,0.0145414067793601
"categoryRare",-1.07334635067006,0.0783107204462679,-13.7062504923132,4.36280883136899e-37
"Reproductive_modeBrooder",-0.415526995734807,0.0792326229242096,-5.24439278164856,2.22519700806045e-07
"yearind:categoryRare",0.0035385491760896,0.00591827892724544,0.597901724401583,0.550146790361452
"yearind:Reproductive_modeBrooder",0.0274029132656259,0.00543777667120182,5.03935981974955,6.31015055910036e-07
"categoryRare:Reproductive_modeBrooder",-0.0348684790903158,0.114989938187988,-0.303230696874644,0.761826471332053
"yearind:categoryRare:Reproductive_modeBrooder",-0.0230282643329112,0.00866519790102106,-2.65755780721381,0.00809525094056461
