"Group","Slope","SE","Annual % change","P-value"
"Common broadcaster",-0.0114785635556686,0.00413573307454731,-2.60841441140308,0.00551236044075587
"Rare broadcaster",-0.0121014559372557,0.00453954866698974,-2.74799940640732,0.00768090388227437
"Common brooder",0.00801943982955972,0.00277510739895301,1.86369831214659,0.00385515948694507
"Rare brooder",-0.00830047325548174,0.0042375433093288,-1.89310593390182,0.0501369484422027
