"term","estimate","std.error","statistic","p.value"
"(Intercept)",0.35047950314658,0.0808772855813524,4.33347262618058,1.64411143505994e-05
"yearind",-0.0114785635556686,0.00413573307454731,-2.7754604440774,0.00563398920729333
"categoryRare",-1.43112286005589,0.1182273196603,-12.1048406084812,3.20817182858263e-31
"Reproductive_modeBrooder",-0.610539596128027,0.096544869664385,-6.32389476779471,4.12626886734057e-10
"yearind:categoryRare",-0.000622892381587052,0.00614099260412133,-0.101431872946569,0.919231670245805
"yearind:Reproductive_modeBrooder",0.0194980033852284,0.0049805129394098,3.91485849398052,9.77337828397351e-05
"categoryRare:Reproductive_modeBrooder",0.463481995882639,0.153971801940245,3.01017452573889,0.00268852058921628
"yearind:categoryRare:Reproductive_modeBrooder",-0.0156970207034544,0.007960514087547,-1.9718601752128,0.0489509785585666
