"Group","Slope","SE","Annual % change","P-value"
"Common broadcaster",-0.0189092338953047,0.00323594953581543,-4.26058574161132,5.11188292907761e-09
"Rare broadcaster",-0.0257335253535186,0.00331482610097177,-5.75323010036781,8.28390059477185e-15
"Common brooder",-0.00830926012792256,0.00265993467295895,-1.89509086366481,0.0017849613865887
"Rare brooder",-0.00570624244152869,0.00377616627234478,-1.30531675021144,0.13075774071396
