"Group","Slope","SE","Annual % change","P-value"
"Common broadcaster",-0.00549185612324051,0.00915004529366662,-1.25658480919132,0.548373031000421
"Rare broadcaster",-0.00526939846891832,0.00859224703516047,-1.20599274262249,0.539695431200039
"Common brooder",-0.00507590841348871,0.0145336718426141,-1.16196750711197,0.72690041704215
"Rare brooder",-0.00790589749789128,0.0150137583786259,-1.80393097511419,0.598487476088523
