"term","estimate","std.error","statistic","p.value"
"(Intercept)",-0.239370518556508,0.0589543688897418,-4.06026767929932,0.000106014416850454
"yearind",-0.00549185612324051,0.00915004529366662,-0.600199883933012,0.54991556449963
"categoryRare",-0.843326359460888,0.0791037054204057,-10.6610221983779,1.59781760118601e-17
"reproductive_modebrooder",-0.0610327474178758,0.110536473963978,-0.552150301426889,0.582245002955379
"yearind:categoryRare",0.000222457654322195,0.012551893800912,0.0177230350934001,0.985899925714325
"yearind:reproductive_modebrooder",0.000415947709751805,0.017174135963854,0.0242194256891433,0.9807324187672
"categoryRare:reproductive_modebrooder",0.0736030269512528,0.146977065530241,0.500778993550589,0.61777691999022
"yearind:categoryRare:reproductive_modebrooder",-0.00305244673872477,0.0243760250219334,-0.125223318239056,0.9006323861569
